商品ＣＤ,商品区分,商品名,商品予定名,売価単価,先生用商品ＣＤ,弁当区分,出力区分,パン箱入数,クラス分け名称1,クラス分けグラム出力区分1,クラス分け名称2,クラス分けグラム出力区分2,クラス分け名称3,クラス分けグラム出力区分3,クラス分け名称4,クラス分けグラム出力区分4,クラス分け名称5,クラス分けグラム出力区分5,修正担当者ＣＤ,修正日
1,1,弁当　園児,赤,0,2,0,1,24,,0,,0,,0,,0,,0,2,2020/6/17 15:06
2,0,弁当　先生,赤　先生,0,0,0,1,24,,0,,0,,0,,,,,2,2011/10/7 17:58
3,1,弁当　先生　実習生　,赤　　　実習生,0,3,0,1,24,,0,,0,,0,,0,,0,2,2014/10/24 16:06
4,0,弁当　先生,赤　　　保護者,0,4,0,1,24,,,,,,,,,,,9999,2011/9/14 0:00
5,0,弁当　先生,赤　　　管理職,0,5,0,1,24,,,,,,,,,,,9999,2011/9/14 0:00
6,1,パン　,パン,0,7,1,1,0,,0,,0,,0,,0,,0,2,2015/7/17 9:53
7,1,パン,ﾊﾟﾝ,0,0,0,1,24,ごはん,1,,0,,0,,0,,0,2,2015/7/17 9:54
8,0,弁当　先生,ｵﾚﾝｼﾞ　先生,0,0,0,1,24,,,,,,,,,,,1,2011/8/11 0:00
9,0,弁当　先生,ｵﾚﾝｼﾞ　実習生,0,9,0,1,24,,,,,,,,,,,9999,2011/9/14 0:00
10,0,弁当　先生,ｵﾚﾝｼﾞ　保護者,0,10,0,1,24,,,,,,,,,,,9999,2011/9/14 0:00
11,0,弁当　先生管理職,ｵﾚﾝｼﾞ　管理職,0,11,0,1,24,,0,,0,,0,,0,,0,2,2011/11/10 15:45
13,1,弁当　園児,キャラ,0,14,0,1,24,ごはん,1,,0,,0,,0,,0,2,2012/3/19 16:11
14,0,弁当　先生,キャラ　先生,0,0,0,1,24,,0,,0,,0,,0,,0,2,2012/1/6 14:32
15,1,弁当　生徒,キャラ（ふたば）,0,16,0,1,24,ごはん用保温箱,1,,0,,0,,0,,0,2,2012/3/13 16:09
16,0,弁当　先生,キャラ（ふたば）　先生,0,0,0,0,0,,0,,0,,0,,0,,0,2,2012/1/6 10:45
17,1,弁当　園児,オレンジ,0,18,1,1,30,,0,,0,,0,,0,,0,2,2022/3/23 14:09
18,0,弁当　先生,オレンジ　先生,0,0,1,1,30,,0,,0,,0,,0,,0,2,2022/3/14 13:59
19,1,弁当　園児,きいろおにぎり半俵　,0,0,0,1,30,,0,,0,,0,,,,,2,2011/10/7 18:00
20,0,弁当　先生,きいろ　実習生,0,20,0,1,30,,,,,,,,,,,9999,2011/9/14 0:00
21,0,弁当　先生,きいろ　保護者,0,21,0,1,30,,,,,,,,,,,9999,2011/9/14 0:00
22,1,ビーフシチュー　園児,ビーフシチュー,0,23,1,2,0,ビーフシチュー,0,皿,0,,0,,0,,0,2,2015/2/13 12:07
23,1,ビーフシチュー　先生,ビーフシチュー　先生,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/2/13 12:08
24,1,弁当　園児　スープ付き,オレンジ,0,25,1,1,30,,0,,0,,0,,0,,0,2,2025/5/2 12:53
25,1,弁当　先生　スープ付き,オレンジ,0,25,1,1,30,,0,,0,,0,,0,,0,2,2025/5/2 12:53
26,1,弁当　前日キャンセル30％,弁当　前日キャンセル30％,0,0,1,0,0,,0,,0,,0,,0,,0,2,2022/9/13 9:37
27,1,弁当　前日キャンセル50％,弁等　前日キャンセル50％,0,0,1,0,0,,0,,0,,0,,0,,0,2,2022/9/13 9:37
28,0,弁当　当日キャンセル50％,弁当　当日キャンセル50％,0,0,1,0,0,,0,,0,,0,,0,,0,6,2022/4/28 14:32
29,0,弁当　当日キャンセル100％,弁当　当日キャンセル100％,0,0,1,0,0,,0,,0,,0,,0,,0,6,2022/4/28 14:32
30,0,園児用弁当　予備・検食,園児用弁当　予備・検食,0,31,1,0,0,,0,,0,,0,,0,,0,6,2022/4/28 14:32
31,0,先生用弁当　予備・検食,先生用弁当　予備・検食,0,0,1,0,0,,0,,0,,0,,0,,0,6,2022/4/28 14:33
33,1,パン弁当　園児,赤パン　　,0,34,1,1,24,,0,,0,,0,,0,,0,2,2025/6/27 10:56
34,0,パン弁当　先生,赤パン　　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/6/27 10:56
35,1,パン弁当　園児,キャラパン　,0,36,1,1,24,,0,,0,,0,,0,,0,2,2025/6/27 10:56
36,0,パン弁当　先生,キャラパン　　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/6/27 10:56
37,1,パン　園児,パンカップ　,0,38,1,1,69,皿,0,,0,,0,,0,,0,2,2025/6/27 10:56
38,0,パン　先生,パンカップ　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/6/27 10:56
39,1,お誕生会　園児,お誕生会　,0,40,1,1,18,ランチ,0,,0,,0,,0,,0,2,2023/5/24 17:30
40,0,お誕生会　先生,お誕生会　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
41,1,七夕ランチ　園児,七夕ランチ　,0,42,1,1,24,,0,,0,,0,,0,,0,3,2022/7/1 17:05
42,0,七夕ランチ　先生,七夕ランチ　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
43,1,クリスマス　園児,クリスマス,0,44,1,1,24,,0,,0,,0,,0,,0,4,2023/12/6 13:38
44,0,クリスマス　先生,クリスマス　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
45,1,おひなさま　園児,おひなさま　,0,46,1,1,18,,0,,0,,0,,0,,0,4,2025/2/28 9:47
46,0,おひなさま　先生,おひなさま　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
47,1,ランチ　園児,ランチ　,0,48,1,1,18,,0,,0,,0,,0,,0,2,2011/11/10 14:04
48,0,ランチ　先生,ランチ　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
49,1,カレー　園児,カレー,0,50,1,2,0,ごはん,1,ルウ,0,皿,0,,0,,0,2,2015/12/22 14:07
50,0,カレー　先生,カレー　先生,0,0,1,2,0,,,,,,,,,,,9999,2011/9/14 0:00
51,0,カレー　先生,カレー　管理職,0,51,1,2,0,,,,,,,,,,,9999,2011/9/14 0:00
52,1,ハヤシ　園児,ハヤシ,0,53,1,2,0,ごはん,1,ルウ,0,皿,0,,0,,0,2,2011/11/10 14:17
53,0,ハヤシ　先生,ハヤシ　先生,0,0,1,2,0,ごはん,1,ルウ,0,皿,0,,,,,2,2011/10/7 16:43
54,0,ハヤシ　先生,ハヤシ　管理職,0,54,1,2,0,ごはん,1,ルウ,0,皿,0,,,,,2,2011/10/7 16:44
55,1,シチュー　園児,シチュー,0,56,1,2,0,シチュー,0,皿,0,,0,,0,,0,2,2011/11/16 18:15
56,0,シチュー　先生,シチュー　先生,0,0,1,2,0,シチュー,0,皿,0,カップ,0,,,,,2,2011/10/7 16:45
57,0,シチュー　先生,シチュー　管理職,0,57,1,2,0,シチュー,0,皿,0,カップ,0,,,,,2,2011/10/7 16:45
58,1,スープ　園児,スープ,0,59,1,2,0,おわん,0,スープ,0,,0,,0,,0,2,2024/9/9 14:27
59,0,スープ　先生,スープ　先生,0,0,1,2,0,カップ,0,スープ,0,,0,,,,,2,2011/10/7 16:47
60,1,ハーモニィ　園児,ハーモニィ,0,61,1,2,21,ごはん,1,スープ,0,ちゃわん　カップ,0,,0,,0,2,2017/2/16 10:51
61,0,ハーモニィ　先生,ハーモニィ　先生,0,0,1,2,0,ごはん,1,スープ,0,ちゃわん　カップ,0,,,,,2,2011/10/7 16:49
62,1,ピクニック　園児,ピクニック,0,63,1,1,20,,0,,0,,0,,0,,0,4,2024/4/22 16:39
63,0,ピクニック　先生,ピクニック　先生,0,0,1,2,15,,0,,0,,0,,0,,0,2,2013/3/1 14:47
64,1,クッキング　園児,クッキング,0,65,1,2,0,,0,,0,,0,,0,,0,2,2015/2/19 14:09
65,0,クッキング　先生,クッキング　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2015/2/19 14:16
66,1,バイキング　園児,バイキング,0,67,1,2,0,おにぎり①,0,おにぎり②,0,麺類,0,おかず①,0,おかず②,0,2,2012/5/30 15:02
67,0,バイキング　先生,バイキング　先生,0,0,1,2,0,皿,0,,0,,0,,,,,2,2011/10/7 16:50
68,0,バイキング　先生,バイキング　管理職,0,68,1,2,0,皿,0,,0,,0,,,,,2,2011/10/7 16:50
69,1,チキンライス　園児,チキンライス,0,70,1,2,0,チキンライス,1,皿,0,,0,,0,,0,2,2021/10/21 17:05
70,0,チキンライス　先生,チキンライス　先生,0,0,1,2,0,チキンライス,1,皿,0,,0,,,,,2,2011/10/7 17:26
71,0,チキンライス　先生,チキンライス　管理職,0,71,1,2,0,チキンライス,1,皿,0,,0,,,,,2,2011/10/7 17:26
72,1,チャーハン　園児,チャーハン,0,73,1,2,0,チャーハン,1,皿,0,,0,,0,,0,2,2011/11/10 14:19
73,0,チャーハン　先生,チャーハン　先生,0,0,1,2,0,チャーハン,1,皿,0,,0,,,,,2,2011/10/7 17:25
74,0,チャーハン　先生,チャーハン　管理職,0,74,1,2,0,チャーハン,1,皿,0,,0,,,,,2,2011/10/7 17:26
75,1,ピラフ　園児,ピラフ,0,76,1,2,0,ピラフ,1,皿,0,,0,,0,,0,2,2011/11/10 14:19
76,0,ピラフ　先生,ピラフ　先生,0,0,1,2,0,ピラフ,1,皿,0,,0,,,,,2,2011/10/7 17:41
77,0,ピラフ　先生,ピラフ　管理職,0,77,1,2,0,ピラフ,1,皿,0,,0,,,,,2,2011/10/7 17:41
78,1,マーボー丼　園児,マーボー丼,0,79,1,2,0,ごはん,1,皿,0,マーボー,0,,0,,0,2,2011/12/14 17:12
79,0,マーボー丼　先生,マーボー丼　先生,0,0,1,2,0,ごはん,1,皿,0,マーボー丼,0,,,,,2,2011/10/7 17:42
80,0,マーボー丼　先生,マーボー丼　管理職,0,80,1,2,0,ごはん,1,皿,0,マーボー丼,0,,,,,2,2011/10/7 17:42
81,1,牛丼　園児,牛丼,0,82,1,2,0,ごはん,1,皿,0,牛丼,0,,0,,0,2,2011/11/10 14:19
82,0,牛丼　先生,牛丼　先生,0,0,1,2,0,ごはん,1,皿,0,牛丼,0,,,,,2,2011/10/7 17:43
83,0,牛丼　先生,牛丼　管理職,0,83,1,2,0,ごはん,1,皿,0,牛丼,0,,,,,2,2011/10/7 17:43
84,1,親子丼　園児,親子丼,0,85,1,2,0,ごはん,1,皿,0,親子丼,0,,0,,0,2,2011/11/10 14:19
85,0,親子丼　先生,親子丼　先生,0,0,1,2,0,ごはん,1,皿,0,親子丼,0,,,,,2,2011/10/7 17:43
86,0,親子丼　先生,親子丼　管理職,0,86,1,2,0,ごはん,1,皿,0,親子丼,0,,,,,2,2011/10/7 17:44
87,1,中華丼　園児,中華丼,0,88,1,2,0,ごはん,1,中華丼,0,皿,0,,0,,0,2,2011/11/10 14:19
88,0,中華丼　先生,中華丼　先生,0,0,1,2,0,ごはん,1,中華丼,0,皿,0,,,,,2,2011/10/7 17:45
89,0,中華丼　先生,中華丼　管理職,0,89,1,2,0,ごはん,1,中華丼,0,皿,0,,,,,2,2011/10/7 17:46
90,1,豚汁　園児,豚汁,0,91,1,2,0,豚汁,0,おわん,0,,0,,0,,0,2,2012/10/31 14:45
91,0,豚汁　先生,豚汁　先生,0,0,1,2,0,豚汁,0,おわん,0,,0,,,,,2,2011/10/7 17:47
92,0,豚汁　先生,豚汁　管理職,0,92,1,2,0,豚汁,0,おわん,0,,0,,,,,2,2011/10/7 17:47
93,1,寿司飯　園児,寿司飯,0,94,1,2,0,寿司飯,1,,0,,0,,0,,0,2,2012/1/24 16:09
94,0,寿司飯　先生,寿司飯　先生,0,0,1,2,0,寿司飯,1,皿,0,,0,,,,,2,2011/10/7 17:48
95,0,寿司飯　先生,寿司飯　管理職,0,95,1,2,0,寿司飯,1,皿,0,,0,,,,,2,2011/10/7 17:48
96,1,ごはん　園児,ごはん,0,97,1,2,0,ごはん,1,,0,,0,,0,,0,2,2015/7/6 14:59
97,0,ごはん　先生,ごはん　先生,0,0,1,2,0,,0,,0,,0,,0,,0,2,2014/6/25 11:07
98,1,おにぎり　園児,おにぎり,0,99,1,1,0,,0,,0,,0,,0,,0,2,2011/11/10 14:20
99,0,おにぎり　先生,おにぎり　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
100,1,試食　,試食　,0,101,1,1,0,,0,,0,,0,,0,,0,7,2022/9/27 17:21
101,0,試食　先生,試食　先生,0,0,1,1,0,,,,,,,,,,,9999,2011/9/14 0:00
102,1,朝食　園児,朝食,0,103,1,2,0,,0,,0,,0,,0,,0,2,2020/6/17 15:05
103,0,朝食　先生,朝食,0,0,1,2,0,,0,,0,,0,,0,,0,2,2020/6/17 15:05
104,1,昼食　園児,昼食,0,105,1,2,0,,0,,0,,0,,0,,0,2,2020/6/17 15:06
105,0,昼食　先生,昼食,0,0,1,2,0,,0,,0,,0,,0,,0,2,2020/6/17 15:06
106,1,夕食　園児,夕食,0,107,1,2,0,,0,,0,,0,,0,,0,2,2020/6/17 15:06
107,0,夕食　先生,夕食,0,0,1,2,0,,0,,0,,0,,0,,0,2,2020/6/17 15:06
108,1,デザート　園児,デザート　園児,0,109,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
109,0,デザート　先生,デザート　先生,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
110,1,ぜんざい　園児,ぜんざい,0,111,1,2,0,ぜんざい,0,おわん,0,,0,,0,,0,2,2013/1/30 14:07
111,0,ぜんざい　先生,ぜんざい　先生,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
112,1,ケーキ　園児,ケーキ　園児,0,113,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
113,0,ケーキ　先生,ケーキ　先生,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
114,1,おやつ,おやつ,0,484,3,0,0,,0,,0,,0,,0,,0,2,2015/8/26 10:35
115,1,アーモンド小魚,アーモンド小魚,0,0,3,0,0,アーモンド小魚,0,,0,,0,,0,,0,2,2016/9/23 13:52
116,1,味付小魚,味付小魚,0,0,3,2,0,味付小魚,0,,0,,0,,0,,0,2,2015/12/18 13:52
117,1,アップルジュース,アップルジュース,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
118,1,オレンジジュース,オレンジジュース,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
119,1,野菜ジュース,野菜ジュース,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
120,1,ミニりんごジュース,ミニりんごジュース,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
121,1,プチコンク,プチコンク,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
122,1,お茶,お茶,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
123,0,牛乳,牛乳,0,0,1,0,0,,0,,0,,0,,0,,0,2,2023/4/14 13:56
124,1,こんぶ,こんぶ,0,0,3,0,0,,0,,0,,0,,0,,0,2,2015/12/18 13:53
125,1,バナナ,バナナ,0,0,3,0,0,,0,,0,,0,,0,,0,2,2018/6/1 13:31
126,1,きなこ,きなこ,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
127,1,ひなあられ,ひなあられ,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
128,1,いり大豆,いり大豆,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
129,1,フルーツカップ,フルーツカップ,0,0,1,1,69,,0,,0,,0,,0,,0,2,2018/6/13 14:30
130,1,みかんゼリー,みかんゼリー,0,0,3,0,0,,0,,0,,0,,0,,0,2,2016/6/14 9:49
131,1,節分豆,節分豆,0,0,3,0,0,,,,,,,,,,,9999,2011/9/14 0:00
132,1,サラダカップ,サラダカップ,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
133,1,福神漬け,福神漬け,0,0,2,2,0,漬物,0,,0,,0,,,,,2,2011/10/7 18:04
134,1,もち米,もち米,0,604,1,1,0,,0,,0,,0,,0,,0,1,2016/12/7 11:26
135,1,砂糖,砂糖,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
136,1,そうめん,そうめん,0,522,1,2,0,そうめん,1,,0,,0,,0,,0,2,2019/7/19 17:04
137,1,ごはんとスープ,ごはんとスープ,0,492,1,2,0,ごはん,1,スープ,0,皿,0,カップ,0,おちゃわん,0,2,2021/1/20 14:25
138,1,お弁当,お弁当,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/2/16 16:01
