商品ＣＤ,商品区分,商品名,商品予定名,売価単価,先生用商品ＣＤ,弁当区分,出力区分,パン箱入数,クラス分け名称1,クラス分けグラム出力区分1,クラス分け名称2,クラス分けグラム出力区分2,クラス分け名称3,クラス分けグラム出力区分3,クラス分け名称4,クラス分けグラム出力区分4,クラス分け名称5,クラス分けグラム出力区分5,修正担当者ＣＤ,修正日
1,1,弁当　園児,赤,88,2,0,1,24,,0,,0,,0,,0,,0,2,2025/09/08 13:37:08
2,0,弁当　先生,赤　先生,30,0,0,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:37:37
3,1,弁当　先生　実習生　,赤　実習生,0,3,0,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:37:46
4,0,弁当　先生　保護者,赤　保護者,0,4,0,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:37:55
13,1,弁当　園児,キャラ,71,14,0,1,24,ごはん,1,,0,,0,,0,,0,2,2025/09/08 13:38:12
14,0,弁当　先生,キャラ　先生,30,0,0,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:38:22
15,1,弁当　生徒,キャラ（ふたば）,71,16,0,1,24,ごはん用保温箱,1,,0,,0,,0,,0,2,2025/09/08 13:38:31
16,0,弁当　先生,キャラ（ふたば）　先生,30,0,0,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:39:01
22,1,ビーフシチュー　園児,ビーフシチュー,0,23,1,2,0,ビーフシチュー,0,皿,0,,0,,0,,0,2,2025/09/08 13:39:27
23,1,ビーフシチュー　先生,ビーフシチュー　先生,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:39:34
24,1,弁当　園児　スープ付き,オレンジ,76,25,1,1,30,,0,,0,,0,,0,,0,2,2025/09/08 13:40:15
25,1,弁当　先生　スープ付き,オレンジ,76,25,1,1,30,,0,,0,,0,,0,,0,2,2025/09/08 13:40:20
26,1,弁当　前日キャンセル30％,弁当　前日キャンセル30％,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:40:22
27,1,弁当　前日キャンセル50％,弁当　前日キャンセル50％,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:40:28
28,1,弁当　当日キャンセル50％,弁当　当日キャンセル50％,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:40:33
29,1,弁当　当日キャンセル100％,弁当　当日キャンセル100％,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:40:38
30,0,弁当　園児　予備,弁当　園児　予備,0,31,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:40:42
31,0,弁当　園児　検食,弁当　園児　検食,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:40:52
33,1,パン弁当　園児,赤パン　　,88,34,1,1,24,,0,,0,,0,,0,,0,2,2025/09/08 13:41:14
34,0,パン弁当　先生,赤パン　　先生,30,0,1,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:41:27
35,1,パン弁当　園児,キャラパン　,71,36,1,1,24,,0,,0,,0,,0,,0,2,2025/09/08 13:41:35
36,0,パン弁当　先生,キャラパン　　先生,30,0,1,1,12,,0,,0,,0,,0,,0,2,2025/09/08 13:41:46
37,1,パン　園児,パンカップ　,0,38,1,1,69,皿,0,,0,,0,,0,,0,2,2025/09/08 13:42:18
38,0,パン　先生,パンカップ　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:42:26
39,1,お誕生会　園児,お誕生会　,65,40,1,1,18,ランチ,0,,0,,0,,0,,0,2,2025/09/08 13:42:35
40,0,お誕生会　先生,お誕生会　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:42:50
41,1,七夕ランチ　園児,七夕ランチ　,0,42,1,1,24,,0,,0,,0,,0,,0,2,2025/09/08 13:42:47
42,0,七夕ランチ　先生,七夕ランチ　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:42:54
43,1,クリスマス　園児,クリスマス,0,44,1,1,24,,0,,0,,0,,0,,0,2,2025/09/08 13:43:00
44,0,クリスマス　先生,クリスマス　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:43:05
45,1,おひなさま　園児,おひなさま　,0,46,1,1,18,,0,,0,,0,,0,,0,2,2025/09/08 13:43:09
46,0,おひなさま　先生,おひなさま　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:43:17
49,1,カレー　園児,カレー,0,50,1,2,0,ごはん,1,ルウ,0,皿,0,,0,,0,2,2025/09/08 13:43:26
50,0,カレー　先生,カレー　先生,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:43:30
52,1,ハヤシ　園児,ハヤシ,0,53,1,2,0,ごはん,1,ルウ,0,皿,0,,0,,0,2,2025/09/05 14:16:31
53,0,ハヤシ　先生,ハヤシ　先生,0,0,1,2,0,ごはん,1,ルウ,0,皿,0,,0,,0,2,2025/09/05 14:16:36
55,1,シチュー　園児,シチュー,0,56,1,2,0,シチュー,0,皿,0,,0,,0,,0,2,2025/09/05 14:16:41
56,0,シチュー　先生,シチュー　先生,0,0,1,2,0,シチュー,0,皿,0,カップ,0,,0,,0,2,2025/09/05 14:16:48
58,1,スープ　園児,スープ,0,59,1,2,0,おわん,0,スープ,0,,0,,0,,0,2,2025/09/05 14:16:54
59,0,スープ　先生,スープ　先生,0,0,1,2,0,カップ,0,スープ,0,,0,,0,,0,2,2025/09/05 14:16:59
60,1,ハーモニィ　園児,ハーモニィ,200,61,1,2,21,ごはん,1,スープ,0,ちゃわん　カップ,0,,0,,0,2,2025/09/08 13:44:09
61,0,ハーモニィ　先生,ハーモニィ　先生,0,0,1,2,0,ごはん,1,スープ,0,ちゃわん　カップ,0,,0,,0,2,2025/09/05 14:18:39
62,1,ピクニック　園児,ピクニック,0,63,1,1,20,,0,,0,,0,,0,,0,2,2025/09/08 13:44:23
63,0,ピクニック　先生,ピクニック　先生,0,0,1,1,15,,0,,0,,0,,0,,0,2,2025/09/08 16:44:52
64,1,クッキング　園児,クッキング,0,65,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 16:44:16
65,0,クッキング　先生,クッキング　先生,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 16:45:18
66,1,バイキング　園児,バイキング,0,67,1,2,0,おにぎり①,0,おにぎり②,0,麺類,0,おかず①,0,おかず②,0,2,2025/09/05 13:14:07
67,0,バイキング　先生,バイキング　先生,0,0,1,2,0,皿,0,,0,,0,,0,,0,2,2025/09/08 13:44:49
90,1,豚汁　園児,豚汁,0,0,1,2,0,豚汁,0,おわん,0,,0,,0,,0,2,2025/09/08 13:45:24
91,0,豚汁　先生,豚汁　先生,0,0,1,2,0,豚汁,0,おわん,0,,0,,0,,0,2,2025/09/08 13:45:29
93,1,寿司飯　園児,寿司飯,0,94,1,2,0,寿司飯,1,,0,,0,,0,,0,2,2025/09/08 13:45:41
94,0,寿司飯　先生,寿司飯　先生,0,0,1,2,0,寿司飯,1,皿,0,,0,,0,,0,2,2025/09/08 13:45:46
96,1,ごはん　園児,ごはん,0,97,1,2,0,ごはん,1,,0,,0,,0,,0,2,2025/09/08 13:45:59
97,0,ごはん　先生,ごはん　先生,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:09
98,1,おにぎり　園児,おにぎり,0,99,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:14
99,0,おにぎり　先生,おにぎり　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:20
100,1,試食　,試食　,0,101,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:25
101,0,試食　先生,試食　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:30
102,1,朝食　園児,朝食,0,103,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:35
103,0,朝食　先生,朝食　先生,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:40
104,1,昼食　園児,昼食,0,105,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:44
105,0,昼食　先生,昼食　先生,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:49
106,1,夕食　園児,夕食,0,107,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:53
107,0,夕食　先生,夕食　先生,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 13:46:58
108,1,デザート　園児,デザート　,0,109,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:47:03
109,0,デザート　先生,デザート　先生,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:47:07
112,1,ケーキ　園児,ケーキ　,0,113,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:47:29
113,0,ケーキ　先生,ケーキ　先生,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:47:37
114,1,おやつ,おやつ,0,484,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:47:42
115,1,アーモンド小魚,アーモンド小魚,0,0,3,0,0,アーモンド小魚,0,,0,,0,,0,,0,2,2025/09/08 13:47:49
116,0,味付小魚,味付小魚,0,0,3,2,0,味付小魚,0,,0,,0,,0,,0,2,2025/09/08 13:47:53
117,1,アップルジュース,アップルジュース,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:47:58
118,1,オレンジジュース,オレンジジュース,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:06
119,1,野菜ジュース,野菜ジュース,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:10
120,1,ミニりんごジュース,ミニりんごジュース,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:15
121,1,プチコンク,プチコンク,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:23
122,1,お茶,お茶,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:28
123,0,牛乳,牛乳,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:34
127,1,ひなあられ,ひなあられ,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:46
128,1,いり大豆,いり大豆,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:48:51
129,1,フルーツカップ,フルーツカップ,0,0,1,1,69,,0,,0,,0,,0,,0,2,2025/09/08 13:48:56
130,1,みかんゼリー,みかんゼリー,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:49:01
131,1,節分豆,節分豆,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:49:06
132,1,サラダカップ,サラダカップ,0,0,2,1,0,,0,,0,,0,,0,,0,2,2025/09/08 16:45:59
134,1,もち米,もち米,0,604,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 16:46:42
136,1,そうめん,そうめん,0,522,1,2,0,そうめん,1,,0,,0,,0,,0,2,2025/09/08 13:49:29
137,1,ごはんとスープ,ごはんとスープ,0,492,1,2,0,ごはん,1,スープ,0,皿,0,カップ,0,おちゃわん,0,2,2021/01/20 14:25:33
138,1,お弁当,お弁当,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:49:39
140,1,消費税,消費税,0,0,2,0,0,,0,,0,,0,,0,,0,2,2025/09/08 13:49:48
141,1,チーズ,チーズ,0,0,0,2,0,チーズ,0,,0,,0,,0,,0,2,2025/09/08 13:49:53
