得意先ＣＤ,得意先名,得意先名カナ,得意先名略称,郵便番号,住所１,住所２,電話番号,ＦＡＸ,売掛現金区分,電話確認区分,締区分,締日１,締日２,締日３,締日４,支払サイト,支払日,集金区分,請求先ＣＤ,ＷＥＢ表示区分,取扱区分,帳票出力順,ＩＤ,パスワード,備考,数量確定フラグ,税区分,軽減税率区分,部署ＣＤ,修正担当者ＣＤ,修正日
1,幼稚園別注,ﾖｳﾁｴﾝﾍﾞｯﾁｭｳ,幼稚園別注,,,,,,1,0,0,99,0,0,0,1,99,1,1,0,0,0,,,,1,0,0,1,2,2025/08/27 16:54:39
11,太宰府小学校　第一学童保育所,ﾀﾞｻﾞｲﾌｼｮｳｶﾞｯｺｳﾀﾞｲｲﾁｶﾞｸﾄﾞｳﾎｲｸｼｮ,太宰府小　学童第一,818-0119,太宰府市連歌屋1-2-2,,092-925-3525,,1,0,0,99,0,0,0,1,99,1,11,0,0,0,,,,1,0,0,1,2,2021/05/21 11:50:55
12,太宰府小学校　第二学童保育所,ﾀﾞｻﾞｲﾌｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎｲｸｼｮ,太宰府小　学童第二,818-0119,太宰府市連歌屋1-2-1,,092-928-5031,,1,0,0,99,0,0,0,1,99,1,12,0,0,0,,,,1,0,0,1,2,2021/05/21 13:54:29
13,太宰府東小学校　第一学童保育所,ﾀﾞｻﾞｲﾌﾋｶﾞｼｼｮｳｶﾞｯｺｳ ﾀﾞｲｲﾁｶﾞｸﾄﾞｳ,太宰府東小　学童第一,818-0121,太宰府市青山3-4-1,,092-925-5299,,1,0,0,99,0,0,0,1,99,1,13,0,0,0,,,,1,0,0,1,2,2021/05/21 11:53:48
14,太宰府東小学校　第二学童保育所,ﾀﾞｻﾞｲﾌﾋｶﾞｼｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎ,太宰府東小　学童第二,818-0121,太宰府市青山3-4-1,,092-929-3038,,1,0,0,99,0,0,0,1,99,1,14,0,0,0,,,,1,0,0,1,2,2021/05/21 11:55:03
15,太宰府南小学校　第一学童保育所,ﾀﾞｻﾞｲﾌﾐﾅﾐｼｮｳｶﾞｯｺｳ ﾀﾞｲｲﾁｶﾞｸﾄﾞｳﾎ,太宰府南小　学童第一,818-0122,太宰府市高雄2-3855,,092-925-6031,,1,0,0,99,0,0,0,1,99,1,15,0,0,0,,,,1,0,0,1,2,2021/05/21 12:00:41
16,太宰府南小学校　第二学童保育所,ﾀﾞｻﾞｲﾌﾐﾅﾐｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎ,太宰府南小　学童第二,818-0122,太宰府市高雄2-3855,,092-925-6936,,1,0,0,99,0,0,0,1,99,1,16,0,0,0,,,,1,0,0,1,2,2021/05/21 11:59:10
17,水城小学校　第一学童保育所,ﾐｽﾞｷｼｮｳｶﾞｯｺｳ ﾀﾞｲｲﾁｶﾞｸﾄﾞｳﾎｲｸｼｮ,水城小　学童第一,818-0101,太宰府市観世音寺3-13-2,,092-925-2777,,1,0,0,99,0,0,0,1,99,1,17,0,0,0,,,,1,0,0,1,2,2021/05/21 12:07:23
18,水城小学校　第二学童保育所,ﾐｽﾞｷｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎｲｸｼｮ,水城小　学童第二,818-0101,太宰府市観世音寺3-13-2,,092-923-3073,,1,0,0,99,0,0,0,1,99,1,18,0,0,0,,,,1,0,0,1,2,2021/05/21 13:54:41
19,水城小学校　第三学童保育所,ﾐｽﾞｷｼｮｳｶﾞｯｺｳ ﾀﾞｲｻﾝｶﾞｸﾄﾞｳﾎｲｸｼｮ,水城小　学童第三,818-0101,太宰府市観世音寺3-13-2,,092-923-3083,,1,0,0,99,0,0,0,1,99,1,19,0,0,0,,,,1,0,0,1,2,2021/05/21 12:37:01
20,水城西小学校　第一学童保育所,ﾐｽﾞｷﾆｼｼｮｳｶﾞｯｺｳ ﾀﾞｲｲﾁｶﾞｸﾄﾞｳﾎｲｸｼ,水城西小　学童第一,818-0135,太宰府市向佐野90,,092-925-5923,,1,0,0,99,0,0,0,1,99,1,20,0,0,0,,,,1,0,0,1,2,2021/05/21 12:40:46
21,水城西小学校　第二学童保育所,ﾐｽﾞｷﾆｼｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎｲｸｼｮ,水城西小　学童第二,818-0135,太宰府市向佐野90,,092-925-6099,,1,0,0,99,0,0,0,1,99,1,21,0,0,0,,,,1,0,0,1,2,2021/05/21 12:43:36
22,水城西小学校　第三学童保育所,ﾐｽﾞｷﾆｼｼｮｳｶﾞｯｺｳ ﾀﾞｲｻﾝｶﾞｸﾄﾞｳﾎｲｸｼ,水城西小　学童第三,818-0135,太宰府市向佐野90,,092-928-5002,,1,0,0,99,0,0,0,1,99,1,22,0,0,0,,,,1,0,0,1,2,2021/05/21 12:45:19
23,太宰府西小学校　第一学童保育所,ﾀﾞｻﾞｲﾌﾆｼｼｮｳｶﾞｯｺｳ ﾀﾞｲｲﾁｶﾞｸﾄﾞｳﾎｲ,太宰府西小　学童第一,818-0134,太宰府市大佐野4-6-30,,092-924-0932,,1,0,0,99,0,0,0,1,99,1,23,0,0,0,,,,1,0,0,1,2,2021/05/21 12:47:43
24,太宰府西小学校　第二学童保育所,ﾀﾞｻﾞｲﾌﾆｼｼｮｳｶﾞｯｺｳ ﾀﾞｲﾆｶﾞｸﾄﾞｳﾎｲｸ,太宰府西小　学童第二,818-0134,太宰府市大佐野4-6-30,,092-924-1516,,1,0,0,99,0,0,0,1,99,1,24,0,0,0,,,,1,0,0,1,2,2021/05/21 12:48:43
25,国分小学校　第一学童保育所,ｺｸﾌﾞｼｮｳｶﾞｯｺｳ ﾀﾞｲｲﾁｶﾞｸﾄﾞｳﾎｲｸｼｮ,国分小　学童第一,818-0132,太宰府市国分5-29-7,,092-924-0542,,1,0,0,99,0,0,0,1,99,1,25,0,0,0,,,,1,0,0,1,2,2021/05/21 12:49:52
